frequency_hz,amplitude_db,artist,title
0.0,-37.155113,BhikariBal,Khyama
21.533203125,-41.17132,BhikariBal,Khyama
43.06640625,-43.353973,BhikariBal,Khyama
64.599609375,-37.743263,BhikariBal,Khyama
86.1328125,-29.204605,BhikariBal,Khyama
107.666015625,-19.46258,BhikariBal,Khyama
129.19921875,-10.156848,BhikariBal,Khyama
150.732421875,-4.3808765,BhikariBal,Khyama
172.265625,-3.439207,BhikariBal,Khyama
193.798828125,-4.2716446,BhikariBal,Khyama
215.33203125,-1.8203449,BhikariBal,Khyama
236.865234375,-1.6531639,BhikariBal,Khyama
258.3984375,-5.4059753,BhikariBal,Khyama
279.931640625,-6.4819975,BhikariBal,Khyama
301.46484375,-5.907694,BhikariBal,Khyama
322.998046875,-7.766446,BhikariBal,Khyama
344.53125,-7.824051,BhikariBal,Khyama
366.064453125,-8.41911,BhikariBal,Khyama
387.59765625,-9.493681,BhikariBal,Khyama
409.130859375,-6.873801,BhikariBal,Khyama
430.6640625,-3.1702385,BhikariBal,Khyama
452.197265625,0.0,BhikariBal,Khyama
473.73046875,-0.8674164,BhikariBal,Khyama
495.263671875,-5.9541864,BhikariBal,Khyama
516.796875,-5.7313614,BhikariBal,Khyama
538.330078125,-5.7093735,BhikariBal,Khyama
559.86328125,-8.20154,BhikariBal,Khyama
581.396484375,-5.2779427,BhikariBal,Khyama
602.9296875,-3.2231045,BhikariBal,Khyama
624.462890625,-3.4899864,BhikariBal,Khyama
645.99609375,-5.0185165,BhikariBal,Khyama
667.529296875,-4.950287,BhikariBal,Khyama
689.0625,-2.3418694,BhikariBal,Khyama
710.595703125,-2.906477,BhikariBal,Khyama
732.12890625,-9.0773735,BhikariBal,Khyama
753.662109375,-14.324444,BhikariBal,Khyama
775.1953125,-12.62652,BhikariBal,Khyama
796.728515625,-12.981506,BhikariBal,Khyama
818.26171875,-17.410208,BhikariBal,Khyama
839.794921875,-19.05858,BhikariBal,Khyama
861.328125,-16.443874,BhikariBal,Khyama
882.861328125,-14.160793,BhikariBal,Khyama
904.39453125,-13.629653,BhikariBal,Khyama
925.927734375,-11.874453,BhikariBal,Khyama
947.4609375,-12.20137,BhikariBal,Khyama
968.994140625,-16.780373,BhikariBal,Khyama
990.52734375,-19.566671,BhikariBal,Khyama
1012.060546875,-18.022966,BhikariBal,Khyama
1033.59375,-14.237359,BhikariBal,Khyama
